name,color,rarity,numberPicks,averagePick,gamesPlayed,playedPercentage,winrate
Simulacrum Synthesizer,U,M,2138,7.27,961,7.6,46.4
Lonely Arroyo,C,C,35144,7.29,155624,74.6,53.6
Annie Joins Up,WRG,R,7651,7.3,16593,36.4,53.5
Savage Smash,RG,U,18472,7.32,68896,62.5,53.5
Freestrider Commando,G,C,47932,7.32,218254,76.0,53.7
Bandit's Haul,C,U,22108,7.34,82856,63.2,53.0
Rakish Crew,B,U,17218,7.35,53276,53.5,50.7
Grindstone,C,M,1594,7.38,2175,23.5,45.4
Rise of the Varmints,G,U,21525,7.39,66867,52.1,53.3
Greed's Gambit,B,M,2432,7.44,2567,17.8,50.9
Archmage's Charm,U,R,4229,7.45,8679,34.9,51.7
Take Up the Shield,W,C,57831,7.46,262320,74.4,56.2
Hypothesizzle,UR,U,20051,7.56,67480,57.9,51.0
Form a Posse,WR,U,18778,7.57,60784,54.5,53.1
Voracious Varmint,G,C,55383,7.64,259905,77.6,55.0
Molten Duplication,R,M,1903,7.76,1307,11.8,47.4
Bristlepack Sentry,G,C,59955,7.79,276091,75.9,55.3
Essence Capture,U,U,18746,7.8,65472,59.8,52.2
"Doc Aurlock, Grizzled Genius",UG,U,18426,7.81,50261,47.0,51.7
The Key to the Vault,U,R,5652,7.87,6020,18.6,45.9
Slick Sequence,UR,U,18424,7.94,58791,54.5,51.7
Ionize,UR,R,4479,7.94,10292,39.1,50.9
Loan Shark,U,C,48319,7.95,203769,72.2,52.0
Nurturing Pixie,W,U,18152,7.97,57355,52.7,54.4
Esoteric Duplicator,U,M,2538,7.97,1216,8.2,46.0
Plan the Heist,U,U,21421,8.0,73306,57.8,53.5
Riku of Many Paths,URG,R,7456,8.0,6554,15.0,49.0
Sheriff of Safe Passage,W,U,14651,8.01,44523,51.2,52.9
Requisition Raid,W,U,15555,8.09,43136,46.0,53.9
Demonic Ruckus,R,U,16332,8.11,50369,52.7,52.7
Binding Negotiation,B,U,20988,8.11,68357,55.0,52.9
Mourner's Surprise,B,C,63395,8.12,254275,66.8,54.7
Terminal Agony,BR,U,16763,8.15,54500,55.4,52.0
Imp's Mischief,B,R,3680,8.18,5789,27.2,47.7
Tinybones Joins Up,B,R,5873,8.18,4653,13.5,47.9
Force of Vigor,G,M,1788,8.21,626,5.9,48.6
Deadeye Duelist,R,C,40978,8.3,158103,66.3,51.2
Phantom Interference,U,C,51025,8.33,200300,66.9,53.0
Worldwalker Helm,U,M,2488,8.49,542,3.7,45.2
Bridled Bighorn,W,C,45982,8.5,179586,64.6,54.9
Outlaw Medic,W,C,48537,8.51,179405,61.6,54.5
Rooftop Assassin,B,C,48026,8.53,189468,66.7,53.2
Gold Rush,G,U,19647,8.54,58674,50.0,53.3
Sterling Keykeeper,W,C,53317,8.55,223117,69.0,55.6
Irascible Wolverine,R,C,46088,8.55,165775,60.9,52.7
Void Rend,WUB,R,4703,8.59,7301,26.3,51.1
Eriette's Lullaby,W,C,40155,8.6,128460,53.6,53.1
Heartless Pillage,B,U,16778,8.62,45911,46.7,52.3
Thunder Lasso,W,U,16921,8.62,45532,45.0,54.0
Tumbleweed Rising,G,C,53059,8.66,166349,51.8,55.3
Arid Archway,C,U,22924,8.68,85525,62.7,53.6
Mindbreak Trap,U,M,2063,8.7,646,5.3,48.6
Fomori Vault,C,M,2636,8.72,1225,7.8,49.7
Bucolic Ranch,C,U,23283,8.74,84212,59.4,56.7
Ankle Biter,G,C,47369,8.79,175803,61.7,54.2
Pariah,W,R,3416,8.81,3909,19.4,50.2
Vraska Joins Up,BG,R,6624,8.82,3151,8.1,45.8
"Eriette, the Beguiler",WUB,R,7433,8.95,4155,9.5,51.5
Oasis Gardener,C,C,50857,8.99,171480,56.7,53.2
Skulduggery,B,C,52709,9.03,160075,51.6,52.2
High Noon,W,R,6611,9.04,3171,8.1,49.0
Skullcrack,R,R,3187,9.08,2598,14.0,46.3
Ambush Gigapede,B,C,56899,9.1,200806,59.2,54.0
Decisive Denial,UG,U,18797,9.14,46649,42.1,52.1
Sterling Supplier,W,C,51759,9.21,176839,56.4,55.7
Discerning Peddler,R,C,43830,9.22,160549,61.6,53.5
Kellan Joins Up,WUG,R,7408,9.23,2253,5.2,45.2
Mine Raider,R,C,40297,9.26,128139,54.1,51.7
Shackle Slinger,U,U,15585,9.28,31616,35.4,48.2
Commandeer,U,R,4071,9.31,1439,6.0,46.2
Vengeful Townsfolk,W,C,43593,9.32,139491,53.2,54.7
Geyser Drake,U,C,41360,9.34,123167,51.7,50.3
Brimstone Roundup,R,U,15471,9.37,26168,29.3,48.2
Voidslime,UG,R,4448,9.38,4583,17.4,50.1
Take the Fall,U,C,57490,9.4,188732,55.7,52.8
"Obeka, Splitter of Seconds",UBR,R,7005,9.43,1014,2.5,39.5
Pitiless Carnage,B,R,7536,9.46,2074,4.6,46.6
Endless Detour,WUG,R,4915,9.5,4474,15.1,53.2
Full Steam Ahead,G,U,18538,9.51,38212,34.4,53.6
Redrock Sentinel,C,U,23193,9.53,65552,47.3,53.9
Take for a Ride,R,U,18081,9.57,31777,30.1,51.2
Stagecoach Security,W,C,47941,9.58,144097,49.8,55.2
Steer Clear,W,C,45599,9.58,117225,42.7,54.5
Another Round,W,R,7953,9.59,1690,3.6,46.6
Map the Frontier,G,U,16528,9.59,28380,29.2,51.1
Step Between Worlds,U,R,7932,9.6,1622,3.5,45.3
Stop Cold,U,C,44218,9.63,129171,50.1,51.2
Humiliate,WB,U,20576,9.66,43281,35.3,55.0
Wanted Griffin,W,C,44273,9.66,119312,44.8,54.7
Ride Down,WR,U,16140,9.74,32461,33.8,53.6
Reckless Lackey,R,C,37153,9.86,98937,45.5,52.1
Ferocification,R,U,13941,9.88,20791,25.4,51.2
Decimate,RG,R,4006,9.93,1034,4.3,47.0
Thornado,G,U,18470,9.95,31933,29.0,52.2
Caught in the Crossfire,R,U,14837,9.95,18538,21.4,49.6
Nezumi Linkbreaker,B,C,47833,9.97,119461,42.1,53.6
Silver Deputy,C,C,46880,9.99,114152,41.4,51.2
Bovine Intervention,W,U,12508,9.99,18372,24.9,50.7
Jailbreak Scheme,U,C,55030,10.0,146258,45.0,53.3
Razzle-Dazzler,U,C,42875,10.01,103167,41.9,49.2
Dust Bowl,C,R,4232,10.22,1271,5.0,50.2
Blacksnag Buzzard,B,C,43255,10.27,84771,33.3,51.2
Quilled Charger,R,C,41594,10.27,95807,39.1,52.3
Sandstorm Verge,C,U,19098,10.3,49176,42.9,54.4
Fake Your Own Death,B,C,50207,10.41,98338,33.0,53.3
Return the Favor,R,U,15950,10.42,17703,19.0,49.6
Fling,R,U,15642,10.43,18015,19.6,51.1
Failed Fording,U,C,48270,10.44,108353,38.4,51.0
Seize the Secrets,U,C,45986,10.45,94563,35.3,51.3
Rustler Rampage,W,U,15722,10.49,15260,16.2,52.6
Highway Robbery,R,C,45939,10.58,96376,35.6,52.2
Boneyard Desecrator,B,C,42498,10.67,70359,28.2,50.7
Trick Shot,R,C,40555,10.72,64903,27.1,51.5
Neutralize the Guards,B,U,18179,10.73,14915,13.9,50.8
Luxurious Locomotive,C,U,17438,10.76,18406,17.7,50.8
Djinn of Fool's Fall,U,C,41988,10.76,76657,31.6,49.1
Iron-Fist Pulverizer,R,C,39579,10.77,68810,29.5,51.2
Sterling Hound,C,C,54473,10.78,104287,32.1,53.4
Reach for the Sky,G,C,47887,10.84,67796,23.5,54.5
Spring Splasher,U,C,45247,10.89,80879,30.8,48.9
Harrier Strix,U,C,41001,10.99,66453,28.0,49.9
Hindering Light,WU,U,16949,10.99,15050,15.1,48.2
Gold Pan,C,C,46768,11.0,60891,21.8,52.5
Overzealous Muscle,B,C,44190,11.09,68613,26.4,50.0
Inventive Wingsmith,W,C,42227,11.13,45954,18.2,51.7
Lavaspur Boots,C,U,15203,11.17,10933,12.1,53.3
Fleeting Reflection,U,U,16539,11.35,9004,9.3,47.0
Magebane Lizard,R,U,14682,11.35,8023,9.3,49.4
Boom Box,C,U,17591,11.4,9248,8.9,51.1
Daring Thunder-Thief,U,C,44121,11.41,49733,19.3,49.7
Corrupted Conviction,B,C,45097,11.41,48070,18.0,52.3
Shifting Grift,U,U,16357,11.42,6796,7.1,46.3
Peerless Ropemaster,U,C,45511,11.47,55228,20.6,52.2
Rodeo Pyromancers,R,C,34825,11.48,32759,16.1,48.0
Armored Armadillo,W,C,40803,11.61,31423,12.9,51.0
Slickshot Vault-Buster,U,C,44259,11.75,41871,16.2,48.5
Tomb Trawler,C,U,20148,11.8,11059,9.3,51.2
Outlaws' Fury,R,C,41983,11.82,38944,15.7,52.3
Quick Draw,R,C,39461,12.06,24060,10.3,50.8
